품목코드,ITEM CODE,Color/Category,품목명[규격],재고수량,단종여부,도매주문단위,주문제표시,품번,한글명,소요량,재고상태,재고상황,재고상태,카테고리,순서,,상품명,색상번호,색상명,재고,,
02066084,1174.0001,petrol/berry/lightblue/lightgreen,Eternity/0001,19,26 SS,1,,1174,이터니티,3,6.33 ,여유,🔵,1,1,,이터니티,1174.0001(신상),petrol/berry/lightblue/lightgreen,🔵,(신상),1174.0001
02066085,1174.0002,green/periwinkle/pink/hazel,Eternity/0002,19,26 SS,1,,1174,이터니티,3,6.33 ,여유,🔵,1,1,,이터니티,1174.0002(신상),green/periwinkle/pink/hazel,🔵,(신상),1174.0002
02066086,1174.0003,orange/olive/periwinkle/rust,Eternity/0003,18,26 SS,1,,1174,이터니티,3,6.00 ,여유,🔵,1,1,,이터니티,1174.0003(신상),orange/olive/periwinkle/rust,🔵,(신상),1174.0003
02066087,1174.0004,periwinkle/blue/berry/olive,Eternity/0004,17,26 SS,1,,1174,이터니티,3,5.67 ,여유,🔵,1,1,,이터니티,1174.0004(신상),periwinkle/blue/berry/olive,🔵,(신상),1174.0004
02066088,1174.0005,green/olive/loden green/salmon,Eternity/0005,4,26 SS,1,,1174,이터니티,3,1.33 ,양호,🟢,1,1,,이터니티,1174.0005(신상),green/olive/loden green/salmon,🟢,(신상),1174.0005
02066089,1174.0006,purple/pink/lime/emerald,Eternity/0006,19,26 SS,1,,1174,이터니티,3,6.33 ,여유,🔵,1,1,,이터니티,1174.0006(신상),purple/pink/lime/emerald,🔵,(신상),1174.0006
02066090,1174.0007,salmon/red/yellow/blue,Eternity/0007,10,26 SS,1,,1174,이터니티,3,3.33 ,여유,🔵,1,1,,이터니티,1174.0007(신상),salmon/red/yellow/blue,🔵,(신상),1174.0007
02066054,1175.0001,white,Sweet/0001,0,26 SS,,,1175,스윗,10,0.00 ,품절,❌,1,2,,스윗,1175.0001(신상),white,❌,(신상),1175.0001
02066055,1175.0004,black,Sweet/0004,5,26 SS,,,1175,스윗,10,0.50 ,낱볼,🔴,1,2,,스윗,1175.0004(신상),black,🔴,(신상),1175.0004
02066056,1175.0006,royal,Sweet/0006,10,26 SS,,,1175,스윗,10,1.00 ,양호,🟢,1,2,,스윗,1175.0006(신상),royal,🟢,(신상),1175.0006
02066057,1175.0009,pomegranate,Sweet/0009,20,26 SS,,,1175,스윗,10,2.00 ,양호,🟢,1,2,,스윗,1175.0009(신상),pomegranate,🟢,(신상),1175.0009
02066058,1175.0013,canary,Sweet/0013,16,26 SS,,,1175,스윗,10,1.60 ,양호,🟢,1,2,,스윗,1175.0013(신상),canary,🟢,(신상),1175.0013
02066059,1175.0014,yellow,Sweet/0014,19,26 SS,,,1175,스윗,10,1.90 ,양호,🟢,1,2,,스윗,1175.0014(신상),yellow,🟢,(신상),1175.0014
02066060,1175.0015,nougat,Sweet/0015,20,26 SS,,,1175,스윗,10,2.00 ,양호,🟢,1,2,,스윗,1175.0015(신상),nougat,🟢,(신상),1175.0015
02066061,1175.0024,grey,Sweet/0024,16,26 SS,,,1175,스윗,10,1.60 ,양호,🟢,1,2,,스윗,1175.0024(신상),grey,🟢,(신상),1175.0024
02066062,1175.0026,beige,Sweet/0026,0,26 SS,,,1175,스윗,10,0.00 ,품절,❌,1,2,,스윗,1175.0026(신상),beige,❌,(신상),1175.0026
02066063,1175.0029,melon,Sweet/0029,5,26 SS,,,1175,스윗,10,0.50 ,낱볼,🔴,1,2,,스윗,1175.0029(신상),melon,🔴,(신상),1175.0029
02066064,1175.0039,camel,Sweet/0039,0,26 SS,,,1175,스윗,10,0.00 ,품절,❌,1,2,,스윗,1175.0039(신상),camel,❌,(신상),1175.0039
02066065,1175.0046,lavender,Sweet/0046,19,26 SS,,,1175,스윗,10,1.90 ,양호,🟢,1,2,,스윗,1175.0046(신상),lavender,🟢,(신상),1175.0046
02066066,1175.0047,violet,Sweet/0047,20,26 SS,,,1175,스윗,10,2.00 ,양호,🟢,1,2,,스윗,1175.0047(신상),violet,🟢,(신상),1175.0047
02066067,1175.0058,mint,Sweet/0058,19,26 SS,,,1175,스윗,10,1.90 ,양호,🟢,1,2,,스윗,1175.0058(신상),mint,🟢,(신상),1175.0058
02066068,1175.0059,orange,Sweet/0059,20,26 SS,,,1175,스윗,10,2.00 ,양호,🟢,1,2,,스윗,1175.0059(신상),orange,🟢,(신상),1175.0059
02066069,1175.0060,red,Sweet/0060,10,26 SS,,,1175,스윗,10,1.00 ,양호,🟢,1,2,,스윗,1175.0060(신상),red,🟢,(신상),1175.0060
02066070,1175.0066,berry,Sweet/0066,20,26 SS,,,1175,스윗,10,2.00 ,양호,🟢,1,2,,스윗,1175.0066(신상),berry,🟢,(신상),1175.0066
02066071,1175.0068,espresso,Sweet/0068,0,26 SS,,,1175,스윗,10,0.00 ,품절,❌,1,2,,스윗,1175.0068(신상),espresso,❌,(신상),1175.0068
02066072,1175.0073,emerald,Sweet/0073,17,26 SS,,,1175,스윗,10,1.70 ,양호,🟢,1,2,,스윗,1175.0073(신상),emerald,🟢,(신상),1175.0073
02066073,1175.0074,jade,Sweet/0074,20,26 SS,,,1175,스윗,10,2.00 ,양호,🟢,1,2,,스윗,1175.0074(신상),jade,🟢,(신상),1175.0074
02066074,1175.0094,offwhite,Sweet/0094,0,26 SS,,,1175,스윗,10,0.00 ,품절,❌,1,2,,스윗,1175.0094(신상),offwhite,❌,(신상),1175.0094
02066075,1175.0096,brown,Sweet/0096,10,26 SS,,,1175,스윗,10,1.00 ,양호,🟢,1,2,,스윗,1175.0096(신상),brown,🟢,(신상),1175.0096
02066076,1175.0106,indigo,Sweet/0106,10,26 SS,,,1175,스윗,10,1.00 ,양호,🟢,1,2,,스윗,1175.0106(신상),indigo,🟢,(신상),1175.0106
02066077,1175.0109,OLEANDER,Sweet/0109,10,26 SS,,,1175,스윗,10,1.00 ,양호,🟢,1,2,,스윗,1175.0109(신상),OLEANDER,🟢,(신상),1175.0109
02066078,1175.0110,LAGOON,Sweet/0110,19,26 SS,,,1175,스윗,10,1.90 ,양호,🟢,1,2,,스윗,1175.0110(신상),LAGOON,🟢,(신상),1175.0110
02066079,1175.0116,PISTACHIO,Sweet/0116,6,26 SS,,,1175,스윗,10,0.60 ,낱볼,🔴,1,2,,스윗,1175.0116(신상),PISTACHIO,🔴,(신상),1175.0116
02066080,1175.0117,ARTICHOKE,Sweet/0117,20,26 SS,,,1175,스윗,10,2.00 ,양호,🟢,1,2,,스윗,1175.0117(신상),ARTICHOKE,🟢,(신상),1175.0117
02066081,1175.0121,LIDO,Sweet/0121,20,26 SS,,,1175,스윗,10,2.00 ,양호,🟢,1,2,,스윗,1175.0121(신상),LIDO,🟢,(신상),1175.0121
02066082,1175.0145,BOUGAINVILLEA,Sweet/0145,0,26 SS,,,1175,스윗,10,0.00 ,품절,❌,1,2,,스윗,1175.0145(신상),BOUGAINVILLEA,❌,(신상),1175.0145
02066083,1175.0159,tangerine,Sweet/0159,10,26 SS,,,1175,스윗,10,1.00 ,양호,🟢,1,2,,스윗,1175.0159(신상),tangerine,🟢,(신상),1175.0159
01146001,1178.0001,white,CottonTweed/0001,-10,26 SS,5,,1178,코튼 트위드,7,(1.43),품절,❌,1,3,,코튼 트위드,1178.0001(신상),white,❌,(신상),1178.0001
01146002,1178.0003,light grey,CottonTweed/0003,0,26 SS,5,,1178,코튼 트위드,7,0.00 ,품절,❌,1,3,,코튼 트위드,1178.0003(신상),light grey,❌,(신상),1178.0003
01146003,1178.0004,black,CottonTweed/0004,4,26 SS,5,,1178,코튼 트위드,7,0.57 ,낱볼,🔴,1,3,,코튼 트위드,1178.0004(신상),black,🔴,(신상),1178.0004
01146004,1178.0009,rose,CottonTweed/0009,-10,26 SS,5,,1178,코튼 트위드,7,(1.43),품절,❌,1,3,,코튼 트위드,1178.0009(신상),rose,❌,(신상),1178.0009
01146005,1178.0011,ochre,CottonTweed/0011,15,26 SS,5,,1178,코튼 트위드,7,2.14 ,여유,🔵,1,3,,코튼 트위드,1178.0011(신상),ochre,🔵,(신상),1178.0011
01146006,1178.0013,baby yellow,CottonTweed/0013,-9,26 SS,5,,1178,코튼 트위드,7,(1.29),품절,❌,1,3,,코튼 트위드,1178.0013(신상),baby yellow,❌,(신상),1178.0013
01146007,1178.0016,light green,CottonTweed/0016,17,26 SS,5,,1178,코튼 트위드,7,2.43 ,여유,🔵,1,3,,코튼 트위드,1178.0016(신상),light green,🔵,(신상),1178.0016
01146008,1178.0018,dark green,CottonTweed/0018,14,26 SS,5,,1178,코튼 트위드,7,2.00 ,양호,🟢,1,3,,코튼 트위드,1178.0018(신상),dark green,🟢,(신상),1178.0018
01146009,1178.0025,navy,CottonTweed/0025,15,26 SS,5,,1178,코튼 트위드,7,2.14 ,여유,🔵,1,3,,코튼 트위드,1178.0025(신상),navy,🔵,(신상),1178.0025
01146010,1178.0029,melon,CottonTweed/0029,18,26 SS,5,,1178,코튼 트위드,7,2.57 ,여유,🔵,1,3,,코튼 트위드,1178.0029(신상),melon,🔵,(신상),1178.0029
01146011,1178.0033,light jeans,CottonTweed/0033,9,26 SS,5,,1178,코튼 트위드,7,1.29 ,양호,🟢,1,3,,코튼 트위드,1178.0033(신상),light jeans,🟢,(신상),1178.0033
01146012,1178.0038,hazelnut,CottonTweed/0038,0,26 SS,5,,1178,코튼 트위드,7,0.00 ,품절,❌,1,3,,코튼 트위드,1178.0038(신상),hazelnut,❌,(신상),1178.0038
01146013,1178.0044,lime,CottonTweed/0044,23,26 SS,5,,1178,코튼 트위드,7,3.29 ,여유,🔵,1,3,,코튼 트위드,1178.0044(신상),lime,🔵,(신상),1178.0044
01146014,1178.0045,mauve,CottonTweed/0045,23,26 SS,5,,1178,코튼 트위드,7,3.29 ,여유,🔵,1,3,,코튼 트위드,1178.0045(신상),mauve,🔵,(신상),1178.0045
01146015,1178.0048,dusty pink,CottonTweed/0048,0,26 SS,5,,1178,코튼 트위드,7,0.00 ,품절,❌,1,3,,코튼 트위드,1178.0048(신상),dusty pink,❌,(신상),1178.0048
01146016,1178.0064,bordeaux,CottonTweed/0064,13,26 SS,5,,1178,코튼 트위드,7,1.86 ,양호,🟢,1,3,,코튼 트위드,1178.0064(신상),bordeaux,🟢,(신상),1178.0064
01146017,1178.0068,dark brown,CottonTweed/0068,3,26 SS,5,,1178,코튼 트위드,7,0.43 ,낱볼,🔴,1,3,,코튼 트위드,1178.0068(신상),dark brown,🔴,(신상),1178.0068
01146018,1178.0088,petrol,CottonTweed/0088,8,26 SS,5,,1178,코튼 트위드,7,1.14 ,양호,🟢,1,3,,코튼 트위드,1178.0088(신상),petrol,🟢,(신상),1178.0088
01146019,1178.0091,pastel green,CottonTweed/0091,0,26 SS,5,,1178,코튼 트위드,7,0.00 ,품절,❌,1,3,,코튼 트위드,1178.0091(신상),pastel green,❌,(신상),1178.0091
01146020,1178.0094,offwhite,CottonTweed/0094,-10,26 SS,5,,1178,코튼 트위드,7,(1.43),품절,❌,1,3,,코튼 트위드,1178.0094(신상),offwhite,❌,(신상),1178.0094
02066001,1179.0001,white,Belle/0001,19,26 SS,5,,1179,벨,7,2.71 ,여유,🔵,1,4,,벨,1179.0001(신상),white,🔵,(신상),1179.0001
02066002,1179.0002,eggwhite,Belle/0002,20,26 SS,5,,1179,벨,7,2.86 ,여유,🔵,1,4,,벨,1179.0002(신상),eggwhite,🔵,(신상),1179.0002
02066003,1179.0004,black,Belle/0004,12,26 SS,5,,1179,벨,7,1.71 ,양호,🟢,1,4,,벨,1179.0004(신상),black,🟢,(신상),1179.0004
02066004,1179.0008,gray-green,Belle/0008,20,26 SS,5,,1179,벨,7,2.86 ,여유,🔵,1,4,,벨,1179.0008(신상),gray-green,🔵,(신상),1179.0008
02066005,1179.0009,rose,Belle/0009,20,26 SS,5,,1179,벨,7,2.86 ,여유,🔵,1,4,,벨,1179.0009(신상),rose,🔵,(신상),1179.0009
